iter	Passed	Remaining
650	3422	1308
651	3427	1303
652	3432	1298
653	3438	1293
654	3443	1287
655	3448	1282
656	3453	1277
657	3458	1272
658	3464	1266
659	3469	1261
660	3474	1256
661	3479	1250
662	3484	1245
663	3489	1240
664	3494	1234
665	3499	1229
666	3505	1224
667	3510	1219
668	3516	1214
669	3521	1209
670	3526	1203
671	3531	1198
672	3536	1192
673	3541	1187
674	3547	1182
675	3552	1177
676	3557	1171
677	3562	1166
678	3567	1161
679	3571	1155
680	3577	1150
681	3582	1144
682	3586	1139
683	3591	1134
684	3596	1128
685	3601	1123
686	3606	1118
687	3611	1112
688	3616	1107
689	3622	1102
690	3627	1097
691	3632	1091
692	3637	1086
693	3642	1081
694	3647	1075
695	3652	1070
696	3657	1065
697	3662	1059
698	3667	1054
699	3672	1049
700	3676	1043
701	3680	1038
702	3686	1032
703	3690	1027
704	3695	1022
705	3700	1016
706	3705	1011
707	3710	1006
708	3715	1000
709	3720	995
710	3725	990
711	3729	984
712	3734	979
713	3740	974
714	3745	969
715	3750	963
716	3755	958
717	3760	953
718	3764	947
719	3769	942
720	3774	937
721	3779	931
722	3784	926
723	3790	921
724	3795	916
725	3800	910
726	3805	905
727	3810	900
728	3816	895
729	3821	889
730	3826	884
731	3830	879
732	3836	874
733	3841	868
734	3846	863
735	3851	858
736	3856	852
737	3862	847
738	3867	842
739	3873	837
740	3878	832
741	3884	827
742	3889	821
743	3895	816
744	3900	811
745	3905	806
746	3910	800
747	3915	795
748	3921	790
749	3926	785
750	3932	780
751	3938	775
752	3944	769
753	3949	764
754	3955	759
755	3960	754
756	3965	749
757	3970	743
758	3976	738
759	3981	733
760	3986	728
761	3992	723
762	3998	717
763	4003	712
764	4008	707
765	4014	702
766	4019	697
767	4025	691
768	4030	686
769	4036	681
770	4041	676
771	4046	670
772	4052	665
773	4057	660
774	4062	655
775	4068	650
776	4073	644
777	4079	639
778	4084	634
779	4089	629
780	4095	623
781	4100	618
782	4105	613
783	4110	608
784	4115	602
785	4120	597
786	4126	592
787	4131	587
788	4137	582
789	4143	576
790	4148	571
791	4153	566
792	4158	561
793	4163	555
794	4168	550
795	4174	545
796	4179	540
797	4186	535
798	4192	529
799	4198	524
800	4204	519
801	4210	514
802	4216	509
803	4222	504
804	4228	498
805	4233	493
806	4238	488
807	4244	483
808	4249	478
809	4255	472
810	4260	467
811	4265	462
812	4270	457
813	4276	451
814	4281	446
815	4286	441
816	4291	436
817	4297	430
818	4302	425
819	4307	420
820	4313	415
821	4318	409
822	4324	404
823	4330	399
824	4335	394
825	4340	388
826	4345	383
827	4350	378
828	4355	373
829	4361	367
830	4367	362
831	4372	357
832	4377	352
833	4383	346
834	4388	341
835	4394	336
836	4399	331
837	4405	325
838	4411	320
839	4416	315
840	4422	310
841	4427	304
842	4432	299
843	4438	294
844	4443	289
845	4449	283
846	4454	278
847	4459	273
848	4465	268
849	4470	262
850	4475	257
851	4481	252
852	4486	247
853	4492	241
854	4497	236
855	4503	231
856	4508	226
857	4513	220
858	4519	215
859	4524	210
860	4530	205
861	4535	199
862	4541	194
863	4546	189
864	4551	184
865	4557	178
866	4561	173
867	4567	168
868	4572	163
869	4577	157
870	4582	152
871	4587	147
872	4592	142
873	4598	136
874	4602	131
875	4607	126
876	4612	120
877	4617	115
878	4622	110
879	4627	105
880	4632	99
881	4637	94
882	4643	89
883	4648	84
884	4653	78
885	4658	73
886	4663	68
887	4668	63
888	4673	57
889	4678	52
890	4683	47
891	4688	42
892	4693	36
893	4698	31
894	4702	26
895	4707	21
896	4712	15
897	4717	10
898	4722	5
899	4728	0
